article_id,article_desc
Article 1 Indian Constitution,name territory Union ( 1 ) India  Bharat  shall Union States ( 2 ) States territory thereof shall specify First Schedule ( 3 ) territory India shall comprise territory States  Union territory specify First Schedule  territory may acquire
Article 2 Indian Constitution,admission establishment new state  Parliament may law admit Union  establish  new States term condition  think fit
Article 2A Indian Constitution,Sikkim associate Union Rep Constitution Thirty six Amendment Act  1975  section 5 ( w e f 26 04 1975 )
Article 3 Indian Constitution,formation new States alteration area  boundarie name exist state  Parliament may law ( a ) form new state separation territory state unite two States part States unite territory part state  ( b ) increase area state  ( c ) diminish area state  ( d ) alter boundary State  ( e ) alter name State  provide Bill purpose shall introduce either House Parliament except recommendation President unless  proposal contain Bill affect area  boundary name States  Bill refer President Legislature State express view thereon within period may specify reference within period President may allow period specify allow expired Explanation article  clause ( a ) ( e )  State include Union territory  proviso  State include Union territory Explanation II power confer Parliament clause ( a ) include power form new State Union territory unite part State Union territory State Union territory
Article 4 Indian Constitution,law make Articles 2 3 provide amendment First Fourth Schedules supplemental  incidental consequential matter ( 1 ) law refer article 2 article 3 shall contain provision amendment First Schedule fourth Schedule may necessary give effect provision law may also contain supplemental  incidental consequential provision ( include provision representation Parliament Legislature Legislatures State States affect law ) Parliament may deem necessary ( 2 ) law aforesaid shall deem amendment Constitution purpose article 368 PART ii c itizenship
Article 5 Indian Constitution,citizenship commencement Constitution commencement Constitution every person domicile territory India ( a ) bear territory India  ( b ) either whose parent bear territory India  ( c ) ordinarily resident territory India less five year precede commencement  shall citizen India
Article 6 Indian Constitution,right citizenship certain person migrate India Pakistan Notwithstanding anything Article 5  person migrate territory India territory include Pakistan shall deem citizen India commencement Constitution ( a ) either parent grand parent bear India define Government India Act  1935 ( as originally enact )  ( b ) ( i ) case person migrate nineteenth day July  1948  ordinarily resident territory India since date migration  ( ii ) case person migrate nineteenth day July  1948  register citizen India officer appoint behalf Government Dominion India application make therefor officer commencement Constitution form manner prescribe government  provide person shall register unless resident territory India least six month immediately precede date application
Article 7 Indian Constitution,right citizenship certain migrant Pakistan Notwithstanding anything Articles 5 6  person first day March  1947  migrate territory India territory include Pakistan shall deem citizen India  provide nothing article shall apply person who  migrate territory include Pakistan  return territory India permit resettlement permanent return issue authority law every person shall purpose clause ( b ) article 6 deem migrate territory India nineteenth day July  1948
Article 8 Indian Constitution,right citizenship certain person India origin reside outside India Notwithstanding anything Article 5  person either whose parent whose grand parent bear India define Government India Act  1935 ( as originally enact )  ordinarily reside country outside India define shall deem citizen India register citizen India diplomatic consular representative India country time residing application make therefor diplomatic consular representative  whether commencement Constitution  form manner prescribe Government Dominion India Government India
Article 9 Indian Constitution,Person voluntarily acquire citizenship foreign state citizen person shall citizen India virtue Article 5  deem citizen India virtue article 6 article 8  voluntarily acquire citizenship foreign state
